indice,fecha,Region,Generacion Termica actual (MU),Generacion Termica Estimada (MU),Generacion Eolica Actual (MU),Generacion Eolica Estimada (MU),Hidro Generacion Actual (MU),Hidro Generacion Estimada (MU)
2163,11/9/2018,Caribe,488.93,463.75,0.00,0.00,31.2,32.92
2164,11/9/2018,Huetar Norte,31.75,37.62,0.00,0.00,14.37,7.65
2165,11/10/2018,Central y Norte,629.42,584.24,26.06,30.37,115.79,155.79
2166,11/10/2018,Pacifico,1243.17,1215.00,28.14,38.42,40.29,10.67
2167,11/10/2018,Zona Sur,619.23,566.44,62.9,41.62,59.93,85.58
2168,11/10/2018,Caribe,478.82,455.26,0.00,0.00,31.2,35.24
2169,11/10/2018,Huetar Norte,31.75,38.15,0.00,0.00,14.37,7.92
2170,11/11/2018,Central y Norte,624.02,597.65,26.06,30.32,115.79,151.54
2171,11/11/2018,Pacifico,1243.17,1216.99,28.14,38.7,40.29,13.37
2172,11/11/2018,Zona Sur,619.23,569.17,62.9,41.33,59.93,64.36
2173,11/11/2018,Caribe,481.92,446.18,0.00,0.00,31.2,33.71
2174,11/11/2018,Huetar Norte,31.75,38.4,0.00,0.00,14.37,8.08
2175,11/12/2018,Central y Norte,624.02,607,26.06,30.82,115.79,149.34
2176,11/12/2018,Pacifico,1243.17,1237.43,28.14,39.01,40.29,19.92
2177,11/12/2018,Zona Sur,619.23,602.01,62.9,41.47,59.93,87.27
2178,11/12/2018,Caribe,471.04,472.94,0.00,0.00,31.2,32.97
2179,11/12/2018,Huetar Norte,31.75,35.05,0.00,0.00,14.37,8.01
2180,11/13/2018,Central y Norte,624.02,623.76,26.06,31.22,115.79,146.57
2181,11/13/2018,Pacifico,1243.17,1262.10,28.14,39.04,40.29,20.41
2182,11/13/2018,Zona Sur,619.23,610.33,62.9,40.53,59.93,83.38
2183,11/13/2018,Caribe,471.04,463.25,0.00,0.00,31.2,36.72
2184,11/13/2018,Huetar Norte,31.75,37.32,0.00,0.00,14.37,7.93
2185,11/14/2018,Central y Norte,624.02,618.02,26.06,31.08,115.79,144.74
2186,11/14/2018,Pacifico,1242.38,1264.35,28.14,39.13,40.29,18.98
2187,11/14/2018,Zona Sur,619.23,613.06,62.9,40.47,59.93,83.53
2188,11/14/2018,Caribe,471.04,455.28,0.00,0.00,31.2,38.92
2189,11/14/2018,Huetar Norte,31.75,37.08,0.00,0.00,14.37,8.05
2190,11/15/2018,Central y Norte,621.52,611.34,26.06,31.16,115.79,145.98
2191,11/15/2018,Pacifico,1239.31,1248.29,28.14,39.11,40.29,16.87
2192,11/15/2018,Zona Sur,619.23,594.14,62.9,40.53,59.93,77
2193,11/15/2018,Caribe,468.47,461.5,0.00,0.00,31.2,38.61
2194,11/15/2018,Huetar Norte,31.75,38.57,0.00,0.00,14.37,8.4
2195,11/16/2018,Central y Norte,628.65,607.26,30.59,31.41,115.79,143.32
2196,11/16/2018,Pacifico,1239.31,1239.64,28.14,37.69,40.29,16.95
2197,11/16/2018,Zona Sur,632.1,526.65,62.9,40.34,59.93,64.26
2198,11/16/2018,Caribe,459.14,479.94,0.00,0.00,31.2,36.89
2199,11/16/2018,Huetar Norte,31.75,38.15,0.00,0.00,14.37,8.61
2200,11/17/2018,Central y Norte,628.65,612.43,30.59,31.5,115.79,138.88
2201,11/17/2018,Pacifico,1239.31,1269.19,28.14,36.96,40.29,22.84
2202,11/17/2018,Zona Sur,632.1,538.23,62.9,41.75,59.93,71.79
2203,11/17/2018,Caribe,459.14,476.59,0.00,0.00,31.2,36.96
2204,11/17/2018,Huetar Norte,31.75,38.89,0.00,0.00,14.37,10.2
2205,11/18/2018,Central y Norte,626.01,599.06,30.59,31.4,115.79,133.12
2206,11/18/2018,Pacifico,1239.31,1265.11,28.14,26.01,40.29,20.61
2207,11/18/2018,Zona Sur,632.1,533.84,62.9,47.79,59.93,52.99
2208,11/18/2018,Caribe,459.14,468.3,0.00,0.00,31.2,34.04
2209,11/18/2018,Huetar Norte,31.75,38.98,0.00,0.00,14.37,10.2
2210,11/19/2018,Central y Norte,626.01,608.47,30.59,31.26,115.79,132.85
2211,11/19/2018,Pacifico,1235.23,1292.24,28.14,26.06,40.29,26.66
2212,11/19/2018,Zona Sur,632.1,556.08,62.9,41.8,59.93,65.88
2213,11/19/2018,Caribe,459.14,484.01,0.00,0.00,31.2,33.68
2214,11/19/2018,Huetar Norte,31.75,38.72,0.00,0.00,14.37,7.96
2215,11/20/2018,Central y Norte,600.75,606.9,30.59,31.09,115.79,138.36
2216,11/20/2018,Pacifico,1229.02,1283.00,28.14,24.72,40.29,22.18
2217,11/20/2018,Zona Sur,632.1,558.45,62.9,39.94,59.93,60.07
2218,11/20/2018,Caribe,459.14,488.21,0.00,0.00,31.2,34.48
2219,11/20/2018,Huetar Norte,31.75,39.08,0.00,0.00,14.37,7.81
2220,11/21/2018,Central y Norte,603.05,596.58,30.59,31.33,115.79,134.67
2221,11/21/2018,Pacifico,1229.02,1299.51,28.14,23.87,40.29,21.41
2222,11/21/2018,Zona Sur,632.1,550.11,62.9,35.86,59.93,60.61
2223,11/21/2018,Caribe,459.14,493.74,0.00,0.00,31.2,34.3
2224,11/21/2018,Huetar Norte,31.75,38.06,0.00,0.00,14.37,8.22
2225,11/22/2018,Central y Norte,603.05,606.07,30.59,31.4,115.79,130.23
2226,11/22/2018,Pacifico,1229.02,1290.61,28.14,25.38,40.29,21.9
2227,11/22/2018,Zona Sur,635.21,525.05,62.9,35.83,59.93,51.11
2228,11/22/2018,Caribe,459.14,485.07,0.00,0.00,31.2,42.05
2229,11/22/2018,Huetar Norte,31.75,38.01,0.00,0.00,14.37,7.64
2230,11/23/2018,Central y Norte,603.05,595.26,30.59,31.18,115.79,130.79
2231,11/23/2018,Pacifico,1229.02,1250.76,28.14,25.59,40.29,22.52
2232,11/23/2018,Zona Sur,635.21,543.21,62.9,35.81,59.93,59.3
2233,11/23/2018,Caribe,464.35,475.91,0.00,0.00,31.2,39.92
2234,11/23/2018,Huetar Norte,31.75,38.71,0.00,0.00,14.37,8.07
2235,11/24/2018,Central y Norte,603.05,601.95,30.59,31.4,115.79,130.07
2236,11/24/2018,Pacifico,1233.10,1293.23,28.14,25.89,40.29,20.97
2237,11/24/2018,Zona Sur,635.21,548.64,62.9,36.78,59.93,73.28
2238,11/24/2018,Caribe,464.35,451.79,0.00,0.00,31.2,39.32
2239,11/24/2018,Huetar Norte,31.75,39.2,0.00,0.00,14.37,8.35
2240,11/25/2018,Central y Norte,603.05,597.35,30.59,31.35,115.79,121.41
2241,11/25/2018,Pacifico,1233.80,1280.42,28.14,26.11,40.29,18.18
2242,11/25/2018,Zona Sur,644.04,523.35,62.9,36.86,59.93,59.37
2243,11/25/2018,Caribe,464.35,439.96,0.00,0.00,31.2,32.97
2244,11/25/2018,Huetar Norte,31.75,37.58,0.00,0.00,14.37,8.54
2245,11/26/2018,Central y Norte,608.29,600.93,30.59,31.34,115.79,124.04
2246,11/26/2018,Pacifico,1233.80,1305.09,28.14,26.09,40.29,21.25
2247,11/26/2018,Zona Sur,647.44,537.09,62.9,36.86,59.93,67.36
2248,11/26/2018,Caribe,464.35,450.74,0.00,0.00,31.2,34.36
2249,11/26/2018,Huetar Norte,31.75,38.03,0.00,0.00,14.37,7.96
2250,11/27/2018,Central y Norte,608.29,610.01,30.59,31.38,115.79,125.62
2251,11/27/2018,Pacifico,1233.80,1296.09,28.14,26.15,40.29,27.2
2252,11/27/2018,Zona Sur,647.44,546.37,62.9,36.96,59.93,61.89
2253,11/27/2018,Caribe,464.35,455.87,0.00,0.00,31.2,36.59
2254,11/27/2018,Huetar Norte,31.75,38.42,0.00,0.00,14.37,7.79
2255,11/28/2018,Central y Norte,608.29,608.1,30.59,31.36,115.79,117.44
2256,11/28/2018,Pacifico,1233.80,1275.15,28.14,26.1,40.29,19.71
2257,11/28/2018,Zona Sur,647.44,549.89,62.9,35.89,59.93,59.33
2258,11/28/2018,Caribe,464.35,469.73,0.00,0.00,31.2,31.62
2259,11/28/2018,Huetar Norte,31.75,39.01,0.00,0.00,14.37,7.31
2260,11/29/2018,Central y Norte,608.29,614.89,30.59,31.41,115.79,116.09
2261,11/29/2018,Pacifico,1233.80,1261.56,28.14,26.18,40.29,22.83
2262,11/29/2018,Zona Sur,647.44,569.46,62.9,36.02,59.93,68.69
2263,11/29/2018,Caribe,464.35,465.87,0.00,0.00,31.2,35.44
2264,11/29/2018,Huetar Norte,31.75,37.54,0.00,0.00,14.37,7.47
2265,11/30/2018,Central y Norte,618.29,625.32,30.59,31.52,115.79,118.45
2266,11/30/2018,Pacifico,1234.59,1249.70,28.14,26.24,40.29,23.4
2267,11/30/2018,Zona Sur,649.04,571.57,62.9,36.93,59.93,68.24
2268,11/30/2018,Caribe,470.02,469.23,0.00,0.00,31.2,32.91
2269,11/30/2018,Huetar Norte,31.75,32.8,0.00,0.00,14.37,7.9
2270,12/1/2018,Central y Norte,611,601.64,26.24,28.55,103.54,114.8
2271,12/1/2018,Pacifico,1176.98,1253.63,17.12,26.27,36.84,25.78
2272,12/1/2018,Zona Sur,631.01,556.8,65.1,36.5,56.93,62.16
2273,12/1/2018,Caribe,464.61,468.82,0.00,0.00,22.67,29.79
2274,12/1/2018,Huetar Norte,31.65,33.7,0.00,0.00,11.1,6.98
2275,12/2/2018,Central y Norte,611,547.77,26.24,31.65,103.54,112.94
2276,12/2/2018,Pacifico,1193.24,1248.21,17.12,26.27,36.84,17.33
2277,12/2/2018,Zona Sur,631.01,521.53,65.1,36.92,56.93,51.99
2278,12/2/2018,Caribe,458.92,472.5,0.00,0.00,22.67,24.02
2279,12/2/2018,Huetar Norte,31.65,34.99,0.00,0.00,11.1,6.96
2280,12/3/2018,Central y Norte,611,580.07,26.24,30.88,103.54,115.16
2281,12/3/2018,Pacifico,1193.24,1270.27,17.12,26.28,36.84,25.44
2282,12/3/2018,Zona Sur,631.01,542.37,65.1,36.95,56.93,68.19
2283,12/3/2018,Caribe,458.92,462.47,0.00,0.00,22.67,26.72
2284,12/3/2018,Huetar Norte,31.65,33.28,0.00,0.00,11.1,6.96
2285,12/4/2018,Central y Norte,617.57,597.95,26.24,28.55,103.54,114.6
2286,12/4/2018,Pacifico,1193.24,1267.96,17.12,26.28,36.84,23.47
2287,12/4/2018,Zona Sur,641.12,559.49,65.1,36.81,56.93,69.45
2288,12/4/2018,Caribe,458.92,466.22,0.00,0.00,22.67,23.69
2289,12/4/2018,Huetar Norte,31.65,32.89,0.00,0.00,11.1,6.79
2290,12/5/2018,Central y Norte,616.85,612.92,26.24,31.6,103.54,116.02
2291,12/5/2018,Pacifico,1189.44,1274.58,17.12,26.28,36.84,33.67
2292,12/5/2018,Zona Sur,640.67,568.86,65.1,37.02,56.93,79.54
2293,12/5/2018,Caribe,458.92,465.67,0.00,0.00,22.67,25.9
2294,12/5/2018,Huetar Norte,31.65,32.83,0.00,0.00,11.1,6.5
2295,12/6/2018,Central y Norte,627.58,612.21,26.24,35.26,103.54,115.94
2296,12/6/2018,Pacifico,1202.63,1293.72,17.12,26.32,36.84,29.44
2297,12/6/2018,Zona Sur,640.67,566.75,65.1,36.08,56.93,77.25
2298,12/6/2018,Caribe,458.92,471.71,0.00,0.00,22.67,27.8
2299,12/6/2018,Huetar Norte,31.65,33.41,0.00,0.00,11.1,7.13
2300,12/7/2018,Central y Norte,628.04,585.7,26.24,36.36,103.54,113.83
2301,12/7/2018,Pacifico,1202.63,1286.79,17.12,26.34,36.84,23.54
2302,12/7/2018,Zona Sur,643.19,561.68,65.1,36.1,56.93,70.97
2303,12/7/2018,Caribe,458.92,475.5,0.00,0.00,22.67,26.35
2304,12/7/2018,Huetar Norte,31.65,34.3,0.00,0.00,11.1,6.99
2305,12/8/2018,Central y Norte,628.3,590.49,26.24,36.58,103.54,116.85
2306,12/8/2018,Pacifico,1198.75,1271.51,17.12,26.41,36.84,22.99
2307,12/8/2018,Zona Sur,643.19,550.97,65.1,36.07,56.93,73.08
2308,12/8/2018,Caribe,458.92,474.99,0.00,0.00,22.67,25.95
2309,12/8/2018,Huetar Norte,31.65,37.15,0.00,0.00,11.1,7
2310,12/9/2018,Central y Norte,630.65,587.39,26.24,36.59,103.54,112.46
2311,12/9/2018,Pacifico,1198.00,1241.64,17.12,26.48,36.84,20.16
2312,12/9/2018,Zona Sur,644.24,525.99,65.1,36.95,56.93,63.85
2313,12/9/2018,Caribe,458.92,470.78,0.00,0.00,22.67,23.69
2314,12/9/2018,Huetar Norte,31.65,34.77,0.00,0.00,11.1,6.97
2315,12/10/2018,Central y Norte,638.56,616.61,26.24,36.58,103.54,114.12
2316,12/10/2018,Pacifico,1192.35,1252.79,17.12,26.4,36.84,26.12
2317,12/10/2018,Zona Sur,644.24,568.72,65.1,36.95,56.93,78.93
2318,12/10/2018,Caribe,469.01,466.19,0.00,0.00,22.67,27.31
2319,12/10/2018,Huetar Norte,31.65,34.55,0.00,0.00,11.1,6.98
2320,12/11/2018,Central y Norte,638.56,606.31,26.24,36.62,103.54,114.34
2321,12/11/2018,Pacifico,1195.49,1256.24,17.12,26.39,36.84,30.07
2322,12/11/2018,Zona Sur,644.24,580.19,65.1,36.04,56.93,77.84
2323,12/11/2018,Caribe,481.72,474.07,0.00,0.00,22.67,26.2
2324,12/11/2018,Huetar Norte,31.65,35.06,0.00,0.00,11.1,6.14
2325,12/12/2018,Central y Norte,638.56,589.47,26.24,36.64,103.54,112.81
2326,12/12/2018,Pacifico,1195.49,1228.13,17.12,26.38,36.84,25.19
2327,12/12/2018,Zona Sur,644.24,594.97,65.1,36.16,56.93,86.53
2328,12/12/2018,Caribe,469.81,470.26,0.00,0.00,22.67,24.69
2329,12/12/2018,Huetar Norte,31.65,37.71,0.00,0.00,11.1,6.74
2330,12/13/2018,Central y Norte,638.56,594.15,26.24,34.44,103.54,114.22
2331,12/13/2018,Pacifico,1195.49,1205.85,17.12,26.38,36.84,22.99
2332,12/13/2018,Zona Sur,658.03,595.86,65.1,36.09,56.93,75.21
2333,12/13/2018,Caribe,469.81,472.85,0.00,0.00,22.67,24.81
2334,12/13/2018,Huetar Norte,31.65,38.15,0.00,0.00,11.1,6.32
2335,12/14/2018,Central y Norte,635.1,589.85,26.24,35.63,103.54,118.24
2336,12/14/2018,Pacifico,1191.95,1171.68,17.12,26.47,36.84,22.44
2337,12/14/2018,Zona Sur,649.34,580.62,65.1,36.08,56.93,57.85
2338,12/14/2018,Caribe,469.81,466.55,0.00,0.00,22.67,26.05
2339,12/14/2018,Huetar Norte,31.65,38.47,0.00,0.00,11.1,6.57
2340,12/15/2018,Central y Norte,633.47,581.09,26.24,36.6,103.54,121.67
2341,12/15/2018,Pacifico,1193.04,1158.76,17.12,26.47,36.84,23.27
2342,12/15/2018,Zona Sur,649.34,540.37,65.1,36.12,56.93,61.95
2343,12/15/2018,Caribe,472.34,462.78,0.00,0.00,22.67,28.67
2344,12/15/2018,Huetar Norte,31.65,38.68,0.00,0.00,11.1,6.78
2345,12/16/2018,Central y Norte,635.97,580.86,26.24,36.56,103.54,117.82
2346,12/16/2018,Pacifico,1193.04,1131.84,17.12,26.43,36.84,19.86
2347,12/16/2018,Zona Sur,652.65,521.45,65.1,36.16,56.93,52.17
2348,12/16/2018,Caribe,472.34,442.31,0.00,0.00,22.67,26.13
2349,12/16/2018,Huetar Norte,31.65,37.78,0.00,0.00,11.1,6.31
2350,12/17/2018,Central y Norte,636.83,612.75,26.24,34.48,103.54,117.39
2351,12/17/2018,Pacifico,1193.04,1155.43,17.12,26.46,36.84,27.39
2352,12/17/2018,Zona Sur,652.65,527.51,65.1,36.23,56.93,63.95
2353,12/17/2018,Caribe,478.03,445.55,0.00,0.00,22.67,24.11
2354,12/17/2018,Huetar Norte,31.65,37.85,0.00,0.00,11.1,6.94
2355,12/18/2018,Central y Norte,636.83,623.22,26.24,31.14,103.54,118.23
2356,12/18/2018,Pacifico,1193.04,1173.76,17.12,26.49,36.84,31.9
2357,12/18/2018,Zona Sur,652.65,531.16,65.1,37.14,56.93,67.8
2358,12/18/2018,Caribe,478.03,447.86,0.00,0.00,22.67,25.78
2359,12/18/2018,Huetar Norte,31.65,36.68,0.00,0.00,11.1,6.47
2360,12/19/2018,Central y Norte,647.98,632.53,26.24,31.21,103.54,121.26
2361,12/19/2018,Pacifico,1193.04,1199.81,17.12,26.46,36.84,31.81
2362,12/19/2018,Zona Sur,652.65,538.56,65.1,37.21,56.93,84.82
2363,12/19/2018,Caribe,472.3,444.22,0.00,0.00,22.67,26.03
2364,12/19/2018,Huetar Norte,31.65,38.23,0.00,0.00,11.1,9.3
2365,12/20/2018,Central y Norte,662.72,644.16,26.24,31.28,103.54,122.03
2366,12/20/2018,Pacifico,1187.11,1218.25,17.12,26.41,36.84,33.23
2367,12/20/2018,Zona Sur,652.65,547.69,65.1,37.22,56.93,84.01
2368,12/20/2018,Caribe,472.3,445.85,0.00,0.00,22.67,38.02
2369,12/20/2018,Huetar Norte,31.65,39.47,0.00,0.00,11.1,7.96
2370,12/21/2018,Central y Norte,668.27,635.63,26.24,31.24,103.54,120.96
2371,12/21/2018,Pacifico,1197.12,1231.29,17.12,26.46,36.84,36.73
2372,12/21/2018,Zona Sur,652.65,582.54,65.1,37.08,56.93,86.39
2373,12/21/2018,Caribe,472.3,461.51,0.00,0.00,22.67,32.02
2374,12/21/2018,Huetar Norte,31.65,39.24,0.00,0.00,11.1,7.35
2375,12/22/2018,Central y Norte,669.13,636.88,26.24,31.32,103.54,116.61
2376,12/22/2018,Pacifico,1197.12,1243.45,17.12,26.39,36.84,30.42
2377,12/22/2018,Zona Sur,652.65,568.09,65.1,35.88,56.93,74.68
2378,12/22/2018,Caribe,476.7,466.72,0.00,0.00,22.67,30.82
2379,12/22/2018,Huetar Norte,31.65,37.87,0.00,0.00,11.1,6.88
2380,12/23/2018,Central y Norte,669.13,614.67,26.24,31.35,103.54,117.54
2381,12/23/2018,Pacifico,1197.76,1210.22,17.12,26.45,36.84,23.16
2382,12/23/2018,Zona Sur,652.65,521.01,65.1,36.4,56.93,55.75
2383,12/23/2018,Caribe,476.7,469.87,0.00,0.00,22.67,23.95
2384,12/23/2018,Huetar Norte,31.65,35.43,0.00,0.00,11.1,6.25
2385,12/24/2018,Central y Norte,669.13,622.33,26.24,31.29,103.54,114.68
2386,12/24/2018,Pacifico,1197.76,1205.85,17.12,26.47,36.84,26.72
2387,12/24/2018,Zona Sur,652.65,555,65.1,36.44,56.93,71.78
2388,12/24/2018,Caribe,482.43,461.43,0.00,0.00,22.67,30.54
2389,12/24/2018,Huetar Norte,31.65,34.85,0.00,0.00,11.1,6.49
2390,12/25/2018,Central y Norte,679.56,625.42,26.24,31.08,103.54,115.96
2391,12/25/2018,Pacifico,1197.76,1229.67,17.12,26.53,36.84,31.26
2392,12/25/2018,Zona Sur,653.1,568.22,65.1,36.97,56.93,68.19
2393,12/25/2018,Caribe,482.43,449.77,0.00,0.00,22.67,34.43
2394,12/25/2018,Huetar Norte,31.65,34.95,0.00,0.00,11.1,6.2
2395,12/26/2018,Central y Norte,689.83,665.23,26.24,30.31,103.54,114.14
2396,12/26/2018,Pacifico,1201.56,1226.17,17.12,26.48,36.84,29.51
2397,12/26/2018,Zona Sur,653.1,588.79,65.1,36.31,56.93,87.14
2398,12/26/2018,Caribe,482.43,465.85,0.00,0.00,22.67,26.05
2399,12/26/2018,Huetar Norte,31.65,33.95,0.00,0.00,11.1,6.83
2400,12/27/2018,Central y Norte,692.69,675.71,26.24,30.91,103.54,113.39
2401,12/27/2018,Pacifico,1206.85,1230.57,17.12,24.91,36.84,26.15
2402,12/27/2018,Zona Sur,653.1,602.21,65.1,35.83,56.93,79.49
2403,12/27/2018,Caribe,482.43,467.74,0.00,0.00,22.67,35.33
2404,12/27/2018,Huetar Norte,31.65,34.15,0.00,0.00,11.1,6.94
2405,12/28/2018,Central y Norte,692.69,680.18,26.24,33.05,103.54,111.22
2406,12/28/2018,Pacifico,1206.85,1222.57,17.12,25.65,36.84,28.73
2407,12/28/2018,Zona Sur,653.1,595.17,65.1,36.15,56.93,71.75
2408,12/28/2018,Caribe,482.43,462.88,0.00,0.00,22.67,31.84
2409,12/28/2018,Huetar Norte,31.65,34.12,0.00,0.00,11.1,7.31
2410,12/29/2018,Central y Norte,692.69,670.71,26.24,25.34,103.54,111.65
2411,12/29/2018,Pacifico,1206.85,1191.45,17.12,26.21,36.84,24.68
2412,12/29/2018,Zona Sur,653.1,580.31,65.1,35.43,56.93,69.68
2413,12/29/2018,Caribe,482.43,457.34,0.00,0.00,22.67,32.1
2414,12/29/2018,Huetar Norte,31.65,33.96,0.00,0.00,11.1,7.79
2415,12/30/2018,Central y Norte,697.69,638.27,26.24,25.62,103.54,112.43
2416,12/30/2018,Pacifico,1206.85,1159.96,17.12,26.56,36.84,20.14
2417,12/30/2018,Zona Sur,653.1,536.19,65.1,35.62,56.93,60.91
2418,12/30/2018,Caribe,482.43,468.83,0.00,0.00,22.67,21.58
2419,12/30/2018,Huetar Norte,31.65,33.86,0.00,0.00,11.1,7.88
2420,12/31/2018,Central y Norte,695.43,652.53,26.24,29.49,103.54,114.88
2421,12/31/2018,Pacifico,1212.85,1190.89,17.12,26.54,36.84,26.58
2422,12/31/2018,Zona Sur,659.23,552.49,65.1,35.94,56.93,69.56
2423,12/31/2018,Caribe,483.43,471.86,0.00,0.00,22.67,26.89
2424,12/31/2018,Huetar Norte,31.65,34.21,0.00,0.00,11.1,7.79
2425,1/1/2019,Central y Norte,691.66,651.74,22.4,31.31,96.87,113.54
2426,1/1/2019,Pacifico,1226.36,1203.62,17.12,26.53,36.29,31.67
2427,1/1/2019,Zona Sur,671.85,528.86,67.32,31.79,60.3,58.99
2428,1/1/2019,Caribe,492.44,477.12,0.00,0.00,22.84,24.15
2429,1/1/2019,Huetar Norte,31.73,33.76,0.00,0.00,9.4,6.28
2430,1/2/2019,Central y Norte,691.66,660.41,22.4,30.33,96.87,110.9
2431,1/2/2019,Pacifico,1226.36,1228.17,17.12,27.68,36.29,31.03
2432,1/2/2019,Zona Sur,671.85,524.91,67.32,32.21,60.3,63.03
2433,1/2/2019,Caribe,492.44,477.13,0.00,0.00,22.84,27.1
2434,1/2/2019,Huetar Norte,31.73,33.99,0.00,0.00,9.4,7.14
2435,1/3/2019,Central y Norte,692.52,646.85,22.4,29.66,96.87,110.69
2436,1/3/2019,Pacifico,1226.36,1248.10,17.12,37.34,36.29,30.73
2437,1/3/2019,Zona Sur,671.85,535.41,67.32,32.2,60.3,72.5
2438,1/3/2019,Caribe,492.44,485.4,0.00,0.00,22.84,26.89
2439,1/3/2019,Huetar Norte,31.73,30.19,0.00,0.00,9.4,7.68
2440,1/4/2019,Central y Norte,692.52,651.34,22.4,30.61,96.87,109.86
2441,1/4/2019,Pacifico,1226.36,1275.71,17.12,39.39,36.29,26.41
2442,1/4/2019,Zona Sur,671.85,551.06,67.32,32.18,60.3,68.21
2443,1/4/2019,Caribe,492.44,477.45,0.00,0.00,22.84,28.1
2444,1/4/2019,Huetar Norte,31.73,33.88,0.00,0.00,9.4,7.46
2445,1/5/2019,Central y Norte,686.77,636.64,22.4,30.25,96.87,103.8
2446,1/5/2019,Pacifico,1226.36,1245.72,17.12,39.54,36.29,25.13
2447,1/5/2019,Zona Sur,671.85,565.8,67.32,32.2,60.3,70.14
2448,1/5/2019,Caribe,492.43,467.18,0.00,0.00,22.84,26.46
2449,1/5/2019,Huetar Norte,31.73,33.91,0.00,0.00,9.4,7.4
2450,1/6/2019,Central y Norte,686.77,612.53,22.4,29.8,96.87,104.09
2451,1/6/2019,Pacifico,1222.96,1157.33,17.12,39.59,36.29,20.41
2452,1/6/2019,Zona Sur,671.85,545.45,67.32,32.26,60.3,65.18
2453,1/6/2019,Caribe,492.43,461.64,0.00,0.00,22.84,25.6
2454,1/6/2019,Huetar Norte,31.73,32.86,0.00,0.00,9.4,6.52
2455,1/7/2019,Central y Norte,686.77,636.7,22.4,30.45,96.87,94.27
2456,1/7/2019,Pacifico,1237.48,1185.17,17.12,39.64,36.29,20.3
2457,1/7/2019,Zona Sur,672.77,565.7,67.32,31.73,60.3,74.91
2458,1/7/2019,Caribe,492.43,465.93,0.00,0.00,22.84,24.19
2459,1/7/2019,Huetar Norte,31.73,28.73,0.00,0.00,9.4,5.88
2460,1/8/2019,Central y Norte,689.1,681.53,22.4,30.36,96.87,93.71
2461,1/8/2019,Pacifico,1237.48,1232.95,17.12,39.53,36.29,22.85
2462,1/8/2019,Zona Sur,672.77,561.76,67.32,31.74,60.3,70.47
2463,1/8/2019,Caribe,492.43,482.08,0.00,0.00,22.84,19.89
2464,1/8/2019,Huetar Norte,31.73,30.15,0.00,0.00,9.4,5.97
2465,1/9/2019,Central y Norte,689.1,692.69,22.4,29.93,96.87,93.86
2466,1/9/2019,Pacifico,1247.83,1216.22,17.12,39.5,36.29,29.06
2467,1/9/2019,Zona Sur,672.77,552.82,67.32,30.77,60.3,66.62
2468,1/9/2019,Caribe,492.43,477.99,0.00,0.00,22.84,22.79
2469,1/9/2019,Huetar Norte,31.73,32.57,0.00,0.00,9.4,6.47
2470,1/10/2019,Central y Norte,678.6,685.31,22.4,29.89,96.87,94.98
2471,1/10/2019,Pacifico,1247.27,1236.60,17.12,39.51,36.29,29.68
2472,1/10/2019,Zona Sur,668.37,550.31,67.32,31.54,60.3,73.74
2473,1/10/2019,Caribe,492.43,487.67,0.00,0.00,22.84,20.91
2474,1/10/2019,Huetar Norte,31.73,37.43,0.00,0.00,9.4,5.97
2475,1/11/2019,Central y Norte,678.6,673.78,22.4,28.32,96.87,94.25
2476,1/11/2019,Pacifico,1247.27,1264.04,17.12,39.55,36.29,24.62
2477,1/11/2019,Zona Sur,668.37,567.45,67.32,31.43,60.3,73.4
2478,1/11/2019,Caribe,496.67,492.22,0.00,0.00,22.84,23.38
2479,1/11/2019,Huetar Norte,31.73,38.55,0.00,0.00,9.4,5.77
2480,1/12/2019,Central y Norte,678.6,662.6,22.4,26.65,96.87,94.63
2481,1/12/2019,Pacifico,1238.36,1256.44,17.12,39.56,36.29,23.16
2482,1/12/2019,Zona Sur,668.37,570.84,67.32,31.5,60.3,72.91
2483,1/12/2019,Caribe,496.67,497.72,0.00,0.00,22.84,22.63
2484,1/12/2019,Huetar Norte,31.73,39.17,0.00,0.00,9.4,5.89
2485,1/13/2019,Central y Norte,678.6,643.72,22.4,26.66,96.87,93.6
2486,1/13/2019,Pacifico,1238.36,1198.85,17.12,39.59,36.29,18.97
2487,1/13/2019,Zona Sur,668.37,545.62,67.32,31.48,60.3,59.23
2488,1/13/2019,Caribe,496.67,476.33,0.00,0.00,22.84,17.94
2489,1/13/2019,Huetar Norte,31.73,39.01,0.00,0.00,9.4,5.71
2490,1/14/2019,Central y Norte,676.86,627.25,22.4,26.64,96.87,98.72
2491,1/14/2019,Pacifico,1238.36,1132.96,17.12,39.53,36.29,23.87
2492,1/14/2019,Zona Sur,668.37,534.88,67.32,31.4,60.3,62.47
2493,1/14/2019,Caribe,496.67,477.47,0.00,0.00,22.84,20.35
2494,1/14/2019,Huetar Norte,31.73,38.03,0.00,0.00,9.4,5.78
2495,1/15/2019,Central y Norte,674,664.33,26.16,26.14,96.87,93.82
2496,1/15/2019,Pacifico,1242.81,1180.58,17.12,39.35,36.29,27.57
2497,1/15/2019,Zona Sur,667.96,514.79,67.32,31.88,60.3,57.48
2498,1/15/2019,Caribe,496.67,476.03,0.00,0.00,22.84,23.87
2499,1/15/2019,Huetar Norte,31.73,38.92,0.00,0.00,9.4,5.51
2500,1/16/2019,Central y Norte,665.62,669.99,26.16,26.1,96.87,94.07
2501,1/16/2019,Pacifico,1245.29,1239.28,17.12,39.26,36.29,27.62
