,indice,fecha,Region,Generacion Termica actual (MU),Generacion Termica Estimada (MU),Generacion Eolica Actual (MU),Generacion Eolica Estimada (MU),Hidro Generacion Actual (MU),Hidro Generacion Estimada (MU),HDBSCAN_clusters
2414,2414,12/29/2018,Huetar Norte,31.65,33.96,0.0,0.0,11.1,7.79,1
2415,2415,12/30/2018,Central y Norte,697.69,638.27,26.24,25.62,103.54,112.43,3
2416,2416,12/30/2018,Pacifico,1206.85,1159.96,17.12,26.56,36.84,20.14,2
2417,2417,12/30/2018,Zona Sur,653.1,536.19,65.1,35.62,56.93,60.91,3
2418,2418,12/30/2018,Caribe,482.43,468.83,0.0,0.0,22.67,21.58,0
2419,2419,12/30/2018,Huetar Norte,31.65,33.86,0.0,0.0,11.1,7.88,1
2420,2420,12/31/2018,Central y Norte,695.43,652.53,26.24,29.49,103.54,114.88,3
2421,2421,12/31/2018,Pacifico,1212.85,1190.89,17.12,26.54,36.84,26.58,2
2422,2422,12/31/2018,Zona Sur,659.23,552.49,65.1,35.94,56.93,69.56,3
2423,2423,12/31/2018,Caribe,483.43,471.86,0.0,0.0,22.67,26.89,0
2424,2424,12/31/2018,Huetar Norte,31.65,34.21,0.0,0.0,11.1,7.79,1
2425,2425,1/1/2019,Central y Norte,691.66,651.74,22.4,31.31,96.87,113.54,3
2426,2426,1/1/2019,Pacifico,1226.36,1203.62,17.12,26.53,36.29,31.67,2
2427,2427,1/1/2019,Zona Sur,671.85,528.86,67.32,31.79,60.3,58.99,3
2428,2428,1/1/2019,Caribe,492.44,477.12,0.0,0.0,22.84,24.15,0
2429,2429,1/1/2019,Huetar Norte,31.73,33.76,0.0,0.0,9.4,6.28,1
2430,2430,1/2/2019,Central y Norte,691.66,660.41,22.4,30.33,96.87,110.9,3
2431,2431,1/2/2019,Pacifico,1226.36,1228.17,17.12,27.68,36.29,31.03,2
2432,2432,1/2/2019,Zona Sur,671.85,524.91,67.32,32.21,60.3,63.03,3
2433,2433,1/2/2019,Caribe,492.44,477.13,0.0,0.0,22.84,27.1,0
2434,2434,1/2/2019,Huetar Norte,31.73,33.99,0.0,0.0,9.4,7.14,1
2435,2435,1/3/2019,Central y Norte,692.52,646.85,22.4,29.66,96.87,110.69,3
2436,2436,1/3/2019,Pacifico,1226.36,1248.1,17.12,37.34,36.29,30.73,2
2437,2437,1/3/2019,Zona Sur,671.85,535.41,67.32,32.2,60.3,72.5,3
2438,2438,1/3/2019,Caribe,492.44,485.4,0.0,0.0,22.84,26.89,0
2439,2439,1/3/2019,Huetar Norte,31.73,30.19,0.0,0.0,9.4,7.68,1
2440,2440,1/4/2019,Central y Norte,692.52,651.34,22.4,30.61,96.87,109.86,3
2441,2441,1/4/2019,Pacifico,1226.36,1275.71,17.12,39.39,36.29,26.41,2
2442,2442,1/4/2019,Zona Sur,671.85,551.06,67.32,32.18,60.3,68.21,3
2443,2443,1/4/2019,Caribe,492.44,477.45,0.0,0.0,22.84,28.1,0
2444,2444,1/4/2019,Huetar Norte,31.73,33.88,0.0,0.0,9.4,7.46,1
2445,2445,1/5/2019,Central y Norte,686.77,636.64,22.4,30.25,96.87,103.8,3
2446,2446,1/5/2019,Pacifico,1226.36,1245.72,17.12,39.54,36.29,25.13,2
2447,2447,1/5/2019,Zona Sur,671.85,565.8,67.32,32.2,60.3,70.14,3
2448,2448,1/5/2019,Caribe,492.43,467.18,0.0,0.0,22.84,26.46,0
2449,2449,1/5/2019,Huetar Norte,31.73,33.91,0.0,0.0,9.4,7.4,1
2450,2450,1/6/2019,Central y Norte,686.77,612.53,22.4,29.8,96.87,104.09,3
2451,2451,1/6/2019,Pacifico,1222.96,1157.33,17.12,39.59,36.29,20.41,2
2452,2452,1/6/2019,Zona Sur,671.85,545.45,67.32,32.26,60.3,65.18,3
2453,2453,1/6/2019,Caribe,492.43,461.64,0.0,0.0,22.84,25.6,0
2454,2454,1/6/2019,Huetar Norte,31.73,32.86,0.0,0.0,9.4,6.52,1
2455,2455,1/7/2019,Central y Norte,686.77,636.7,22.4,30.45,96.87,94.27,3
2456,2456,1/7/2019,Pacifico,1237.48,1185.17,17.12,39.64,36.29,20.3,2
2457,2457,1/7/2019,Zona Sur,672.77,565.7,67.32,31.73,60.3,74.91,3
2458,2458,1/7/2019,Caribe,492.43,465.93,0.0,0.0,22.84,24.19,0
2459,2459,1/7/2019,Huetar Norte,31.73,28.73,0.0,0.0,9.4,5.88,1
2460,2460,1/8/2019,Central y Norte,689.1,681.53,22.4,30.36,96.87,93.71,3
2461,2461,1/8/2019,Pacifico,1237.48,1232.95,17.12,39.53,36.29,22.85,2
2462,2462,1/8/2019,Zona Sur,672.77,561.76,67.32,31.74,60.3,70.47,3
2463,2463,1/8/2019,Caribe,492.43,482.08,0.0,0.0,22.84,19.89,0
2464,2464,1/8/2019,Huetar Norte,31.73,30.15,0.0,0.0,9.4,5.97,1
2465,2465,1/9/2019,Central y Norte,689.1,692.69,22.4,29.93,96.87,93.86,3
2466,2466,1/9/2019,Pacifico,1247.83,1216.22,17.12,39.5,36.29,29.06,2
2467,2467,1/9/2019,Zona Sur,672.77,552.82,67.32,30.77,60.3,66.62,3
2468,2468,1/9/2019,Caribe,492.43,477.99,0.0,0.0,22.84,22.79,0
2469,2469,1/9/2019,Huetar Norte,31.73,32.57,0.0,0.0,9.4,6.47,1
2470,2470,1/10/2019,Central y Norte,678.6,685.31,22.4,29.89,96.87,94.98,3
2471,2471,1/10/2019,Pacifico,1247.27,1236.6,17.12,39.51,36.29,29.68,2
2472,2472,1/10/2019,Zona Sur,668.37,550.31,67.32,31.54,60.3,73.74,3
2473,2473,1/10/2019,Caribe,492.43,487.67,0.0,0.0,22.84,20.91,0
2474,2474,1/10/2019,Huetar Norte,31.73,37.43,0.0,0.0,9.4,5.97,1
2475,2475,1/11/2019,Central y Norte,678.6,673.78,22.4,28.32,96.87,94.25,3
2476,2476,1/11/2019,Pacifico,1247.27,1264.04,17.12,39.55,36.29,24.62,2
2477,2477,1/11/2019,Zona Sur,668.37,567.45,67.32,31.43,60.3,73.4,3
2478,2478,1/11/2019,Caribe,496.67,492.22,0.0,0.0,22.84,23.38,0
2479,2479,1/11/2019,Huetar Norte,31.73,38.55,0.0,0.0,9.4,5.77,1
2480,2480,1/12/2019,Central y Norte,678.6,662.6,22.4,26.65,96.87,94.63,-1
2481,2481,1/12/2019,Pacifico,1238.36,1256.44,17.12,39.56,36.29,23.16,2
2482,2482,1/12/2019,Zona Sur,668.37,570.84,67.32,31.5,60.3,72.91,3
2483,2483,1/12/2019,Caribe,496.67,497.72,0.0,0.0,22.84,22.63,0
2484,2484,1/12/2019,Huetar Norte,31.73,39.17,0.0,0.0,9.4,5.89,1
2485,2485,1/13/2019,Central y Norte,678.6,643.72,22.4,26.66,96.87,93.6,-1
2486,2486,1/13/2019,Pacifico,1238.36,1198.85,17.12,39.59,36.29,18.97,2
2487,2487,1/13/2019,Zona Sur,668.37,545.62,67.32,31.48,60.3,59.23,3
2488,2488,1/13/2019,Caribe,496.67,476.33,0.0,0.0,22.84,17.94,0
2489,2489,1/13/2019,Huetar Norte,31.73,39.01,0.0,0.0,9.4,5.71,1
2490,2490,1/14/2019,Central y Norte,676.86,627.25,22.4,26.64,96.87,98.72,-1
2491,2491,1/14/2019,Pacifico,1238.36,1132.96,17.12,39.53,36.29,23.87,2
2492,2492,1/14/2019,Zona Sur,668.37,534.88,67.32,31.4,60.3,62.47,3
2493,2493,1/14/2019,Caribe,496.67,477.47,0.0,0.0,22.84,20.35,0
2494,2494,1/14/2019,Huetar Norte,31.73,38.03,0.0,0.0,9.4,5.78,1
2495,2495,1/15/2019,Central y Norte,674.0,664.33,26.16,26.14,96.87,93.82,3
2496,2496,1/15/2019,Pacifico,1242.81,1180.58,17.12,39.35,36.29,27.57,2
2497,2497,1/15/2019,Zona Sur,667.96,514.79,67.32,31.88,60.3,57.48,3
2498,2498,1/15/2019,Caribe,496.67,476.03,0.0,0.0,22.84,23.87,0
2499,2499,1/15/2019,Huetar Norte,31.73,38.92,0.0,0.0,9.4,5.51,1
2500,2500,1/16/2019,Central y Norte,665.62,669.99,26.16,26.1,96.87,94.07,3
2501,2501,1/16/2019,Pacifico,1245.29,1239.28,17.12,39.26,36.29,27.62,2
2502,2502,1/16/2019,Zona Sur,667.96,516.57,67.32,31.99,60.3,58.42,3
2503,2503,1/16/2019,Caribe,508.61,484.5,0.0,0.0,22.84,21.69,0
2504,2504,1/16/2019,Huetar Norte,31.73,38.75,0.0,0.0,9.4,5.43,1
2505,2505,1/17/2019,Central y Norte,665.62,672.74,26.16,26.06,96.87,104.51,3
2506,2506,1/17/2019,Pacifico,1245.29,1243.71,17.12,39.49,36.29,25.05,2
2507,2507,1/17/2019,Zona Sur,665.06,525.09,67.32,31.58,60.3,65.42,3
2508,2508,1/17/2019,Caribe,498.04,489.93,0.0,0.0,22.84,25.59,0
2509,2509,1/17/2019,Huetar Norte,31.73,36.62,0.0,0.0,9.4,5.75,1
2510,2510,1/18/2019,Central y Norte,665.62,680.78,26.16,26.0,96.87,103.25,3
2511,2511,1/18/2019,Pacifico,1245.29,1256.25,17.12,39.48,36.29,23.6,2
2512,2512,1/18/2019,Zona Sur,673.85,551.62,67.32,32.14,60.3,69.27,3
2513,2513,1/18/2019,Caribe,498.04,483.14,0.0,0.0,22.84,29.69,0
2514,2514,1/18/2019,Huetar Norte,31.73,37.06,0.0,0.0,9.4,6.68,1
2515,2515,1/19/2019,Central y Norte,665.62,679.01,26.16,26.53,96.87,106.0,3
2516,2516,1/19/2019,Pacifico,1245.29,1239.78,17.12,39.44,36.29,23.5,2
2517,2517,1/19/2019,Zona Sur,673.85,550.08,67.32,32.13,60.3,69.67,3
2518,2518,1/19/2019,Caribe,498.04,487.86,0.0,0.0,22.84,26.83,0
2519,2519,1/19/2019,Huetar Norte,31.73,38.1,0.0,0.0,9.4,6.79,1
2520,2520,1/20/2019,Central y Norte,664.76,622.93,26.16,25.95,96.87,97.46,3
2521,2521,1/20/2019,Pacifico,1246.58,1222.36,17.12,37.36,36.29,19.69,2
2522,2522,1/20/2019,Zona Sur,673.85,526.3,67.32,32.15,60.3,57.13,3
2523,2523,1/20/2019,Caribe,498.35,483.75,0.0,0.0,22.84,22.58,0
2524,2524,1/20/2019,Huetar Norte,31.73,38.35,0.0,0.0,9.4,6.52,1
2525,2525,1/21/2019,Central y Norte,664.76,595.48,26.16,26.51,96.87,111.56,3
2526,2526,1/21/2019,Pacifico,1246.58,1214.78,17.12,37.53,36.29,21.67,2
2527,2527,1/21/2019,Zona Sur,673.85,547.39,67.32,32.13,60.3,69.83,3
2528,2528,1/21/2019,Caribe,498.35,465.54,0.0,0.0,22.84,28.18,0
2529,2529,1/21/2019,Huetar Norte,31.73,38.08,0.0,0.0,9.4,6.5,1
2530,2530,1/22/2019,Central y Norte,665.62,541.6,26.16,26.59,96.87,106.25,3
2531,2531,1/22/2019,Pacifico,1246.58,1208.61,17.12,35.58,36.29,26.18,2
2532,2532,1/22/2019,Zona Sur,673.85,582.43,67.32,32.15,60.3,74.74,3
2533,2533,1/22/2019,Caribe,498.35,459.56,0.0,0.0,22.84,33.64,0
2534,2534,1/22/2019,Huetar Norte,31.73,37.62,0.0,0.0,9.4,6.72,1
2535,2535,1/23/2019,Central y Norte,674.0,597.22,26.16,26.57,96.87,113.36,3
2536,2536,1/23/2019,Pacifico,1246.58,1253.47,17.12,35.55,36.29,25.24,2
2537,2537,1/23/2019,Zona Sur,673.85,588.47,67.32,31.74,60.3,76.7,3
2538,2538,1/23/2019,Caribe,498.35,484.63,0.0,0.0,22.84,27.89,0
2539,2539,1/23/2019,Huetar Norte,31.73,37.17,0.0,0.0,9.4,6.39,1
2540,2540,1/24/2019,Central y Norte,667.72,601.3,26.16,26.61,96.87,107.31,3
2541,2541,1/24/2019,Pacifico,1241.15,1208.55,17.12,35.56,36.29,26.22,2
2542,2542,1/24/2019,Zona Sur,673.85,593.72,67.32,31.65,60.3,76.25,3
2543,2543,1/24/2019,Caribe,498.35,479.58,0.0,0.0,22.84,25.22,0
2544,2544,1/24/2019,Huetar Norte,31.73,35.54,0.0,0.0,9.4,7.18,1
2545,2545,1/25/2019,Central y Norte,665.3,597.26,26.16,26.63,96.87,110.1,3
2546,2546,1/25/2019,Pacifico,1241.15,1171.95,17.12,34.12,36.29,22.45,2
2547,2547,1/25/2019,Zona Sur,673.85,608.14,67.32,31.71,60.3,78.73,3
2548,2548,1/25/2019,Caribe,498.35,480.53,0.0,0.0,22.84,23.34,0
2549,2549,1/25/2019,Huetar Norte,31.73,34.96,0.0,0.0,9.4,6.97,1
2550,2550,1/26/2019,Central y Norte,667.97,552.35,26.16,26.68,96.87,110.35,3
2551,2551,1/26/2019,Pacifico,1241.15,1097.74,17.12,36.1,36.29,19.43,2
2552,2552,1/26/2019,Zona Sur,673.85,550.79,67.32,31.82,60.3,62.91,3
2553,2553,1/26/2019,Caribe,498.35,462.69,0.0,0.0,22.84,24.55,0
2554,2554,1/26/2019,Huetar Norte,31.73,34.21,0.0,0.0,9.4,6.99,1
2555,2555,1/27/2019,Central y Norte,667.97,556.87,26.16,26.66,96.87,114.11,3
2556,2556,1/27/2019,Pacifico,1241.3,1101.97,17.12,37.28,36.29,20.63,2
2557,2557,1/27/2019,Zona Sur,673.85,524.69,67.32,31.76,60.3,60.64,3
2558,2558,1/27/2019,Caribe,498.35,464.81,0.0,0.0,22.84,20.32,0
2559,2559,1/27/2019,Huetar Norte,31.73,35.06,0.0,0.0,9.4,6.36,1
2560,2560,1/28/2019,Central y Norte,667.97,608.25,26.16,26.64,96.87,118.39,3
2561,2561,1/28/2019,Pacifico,1231.74,1156.07,17.12,37.54,36.29,23.47,2
2562,2562,1/28/2019,Zona Sur,673.85,529.6,67.32,31.79,60.3,71.6,3
2563,2563,1/28/2019,Caribe,498.35,480.3,0.0,0.0,22.84,27.0,0
2564,2564,1/28/2019,Huetar Norte,31.73,35.89,0.0,0.0,9.4,6.75,1
2565,2565,1/29/2019,Central y Norte,667.97,624.24,26.16,26.65,96.87,115.82,3
2566,2566,1/29/2019,Pacifico,1231.74,1187.43,17.12,37.95,36.29,26.03,2
2567,2567,1/29/2019,Zona Sur,673.85,532.54,67.32,31.53,60.3,65.36,3
2568,2568,1/29/2019,Caribe,498.35,495.92,0.0,0.0,22.84,25.32,0
2569,2569,1/29/2019,Huetar Norte,31.73,35.27,0.0,0.0,9.4,6.5,1
2570,2570,1/30/2019,Central y Norte,665.49,626.86,26.16,26.6,96.87,115.84,3
2571,2571,1/30/2019,Pacifico,1231.57,1217.85,17.12,37.92,36.29,25.27,2
2572,2572,1/30/2019,Zona Sur,673.85,543.42,67.32,31.75,60.3,63.05,3
2573,2573,1/30/2019,Caribe,498.35,509.53,0.0,0.0,22.84,25.22,0
2574,2574,1/30/2019,Huetar Norte,31.73,33.23,0.0,0.0,9.4,6.55,1
2575,2575,1/31/2019,Central y Norte,683.32,617.19,26.16,25.97,96.87,117.93,3
2576,2576,1/31/2019,Pacifico,1231.57,1223.22,17.12,38.7,36.29,25.84,2
2577,2577,1/31/2019,Zona Sur,678.25,551.56,67.32,33.16,60.3,67.52,3
2578,2578,1/31/2019,Caribe,498.35,503.77,0.0,0.0,22.84,24.45,0
2579,2579,1/31/2019,Huetar Norte,31.73,36.06,0.0,0.0,9.4,6.36,1
2580,2580,2/1/2019,Central y Norte,659.86,587.28,26.91,24.4,105.09,115.85,3
2581,2581,2/1/2019,Pacifico,1213.57,1187.13,32.68,38.93,35.58,25.13,2
2582,2582,2/1/2019,Zona Sur,682.45,549.45,67.51,34.28,66.95,72.84,3
2583,2583,2/1/2019,Caribe,497.42,497.29,0.0,0.0,24.0,25.22,0
2584,2584,2/1/2019,Huetar Norte,31.81,37.11,0.0,0.0,8.62,5.92,1
2585,2585,2/2/2019,Central y Norte,659.86,608.3,26.91,21.49,105.09,111.02,-1
2586,2586,2/2/2019,Pacifico,1213.57,1178.78,32.68,39.33,35.58,24.92,2
2587,2587,2/2/2019,Zona Sur,682.45,547.06,67.51,35.58,66.95,72.2,3
2588,2588,2/2/2019,Caribe,497.42,495.15,0.0,0.0,24.0,24.73,0
2589,2589,2/2/2019,Huetar Norte,31.81,36.38,0.0,0.0,8.62,5.11,1
2590,2590,2/3/2019,Central y Norte,659.86,582.52,26.91,22.56,105.09,113.79,3
2591,2591,2/3/2019,Pacifico,1213.55,1158.79,32.68,39.32,35.58,23.83,2
2592,2592,2/3/2019,Zona Sur,682.45,518.6,67.51,37.13,66.95,55.52,3
2593,2593,2/3/2019,Caribe,497.42,479.44,0.0,0.0,24.0,24.24,0
2594,2594,2/3/2019,Huetar Norte,31.81,36.09,0.0,0.0,8.62,4.74,1
2595,2595,2/4/2019,Central y Norte,659.86,597.26,26.91,25.14,105.09,111.46,3
2596,2596,2/4/2019,Pacifico,1213.55,1196.93,32.68,39.28,35.58,26.44,2
2597,2597,2/4/2019,Zona Sur,682.45,537.35,67.51,37.5,66.95,67.96,3
2598,2598,2/4/2019,Caribe,497.42,485.02,0.0,0.0,24.0,28.95,0
2599,2599,2/4/2019,Huetar Norte,31.81,37.01,0.0,0.0,8.62,5.16,1
2600,2600,2/5/2019,Central y Norte,659.86,618.47,26.91,26.32,105.09,107.45,3
2601,2601,2/5/2019,Pacifico,1213.55,1246.34,32.68,39.37,35.58,32.4,2
2602,2602,2/5/2019,Zona Sur,682.45,562.39,67.51,37.36,66.95,78.89,3
2603,2603,2/5/2019,Caribe,497.42,504.31,0.0,0.0,24.0,26.82,0
2604,2604,2/5/2019,Huetar Norte,31.81,35.84,0.0,0.0,8.62,4.92,1
2605,2605,2/6/2019,Central y Norte,660.73,597.52,26.91,25.11,105.09,106.94,3
2606,2606,2/6/2019,Pacifico,1215.94,1235.3,32.68,39.28,35.58,28.56,2
2607,2607,2/6/2019,Zona Sur,682.45,576.15,67.51,36.88,66.95,78.69,3
2608,2608,2/6/2019,Caribe,497.42,510.15,0.0,0.0,24.0,28.62,0
2609,2609,2/6/2019,Huetar Norte,31.81,35.75,0.0,0.0,8.62,4.89,1
2610,2610,2/7/2019,Central y Norte,663.23,522.48,26.91,20.34,105.09,112.09,-1
2611,2611,2/7/2019,Pacifico,1215.94,1166.46,32.68,39.28,35.58,19.37,2
2612,2612,2/7/2019,Zona Sur,682.45,595.09,67.51,32.54,66.95,76.62,3
2613,2613,2/7/2019,Caribe,497.42,505.99,0.0,0.0,24.0,23.24,0
2614,2614,2/7/2019,Huetar Norte,31.81,34.98,0.0,0.0,8.62,4.83,1
2615,2615,2/8/2019,Central y Norte,669.11,540.22,26.91,21.0,105.09,115.9,-1
2616,2616,2/8/2019,Pacifico,1215.94,1213.64,32.68,39.54,35.58,21.46,2
2617,2617,2/8/2019,Zona Sur,682.45,619.41,67.51,27.11,66.95,78.06,-1
2618,2618,2/8/2019,Caribe,492.71,497.19,0.0,0.0,24.0,26.58,0
2619,2619,2/8/2019,Huetar Norte,31.81,35.33,0.0,0.0,8.62,4.77,1
2620,2620,2/9/2019,Central y Norte,658.98,573.5,26.91,21.07,105.09,117.69,-1
2621,2621,2/9/2019,Pacifico,1216.94,1191.17,32.68,39.61,35.58,23.09,2
2622,2622,2/9/2019,Zona Sur,682.45,611.73,67.51,14.78,66.95,64.9,-1
2623,2623,2/9/2019,Caribe,492.71,489.36,0.0,0.0,24.0,25.94,0
2624,2624,2/9/2019,Huetar Norte,31.81,34.19,0.0,0.0,8.62,4.33,1
2625,2625,2/10/2019,Central y Norte,658.98,563.35,26.91,21.03,105.09,113.6,-1
2626,2626,2/10/2019,Pacifico,1216.94,1162.43,32.68,39.53,35.58,22.75,2
2627,2627,2/10/2019,Zona Sur,670.34,570.08,67.51,14.85,66.95,58.56,-1
2628,2628,2/10/2019,Caribe,492.71,494.68,0.0,0.0,24.0,22.24,0
2629,2629,2/10/2019,Huetar Norte,31.81,34.14,0.0,0.0,8.62,4.04,1
2630,2630,2/11/2019,Central y Norte,655.48,564.01,26.91,21.0,105.09,115.68,-1
2631,2631,2/11/2019,Pacifico,1226.0,1194.75,32.68,39.48,35.58,25.8,2
2632,2632,2/11/2019,Zona Sur,670.34,557.23,67.51,30.29,66.95,59.67,3
2633,2633,2/11/2019,Caribe,497.1,503.71,0.0,0.0,24.0,24.83,0
2634,2634,2/11/2019,Huetar Norte,31.81,30.45,0.0,0.0,8.62,3.83,1
2635,2635,2/12/2019,Central y Norte,655.48,573.44,26.91,20.94,105.09,114.65,-1
2636,2636,2/12/2019,Pacifico,1226.0,1220.53,32.68,39.43,35.58,25.06,2
2637,2637,2/12/2019,Zona Sur,670.34,552.83,67.51,37.22,66.95,55.71,3
2638,2638,2/12/2019,Caribe,497.1,505.56,0.0,0.0,24.0,27.32,0
2639,2639,2/12/2019,Huetar Norte,31.81,32.51,0.0,0.0,8.62,2.6,1
2640,2640,2/13/2019,Central y Norte,656.17,583.48,26.91,20.83,105.09,121.78,-1
2641,2641,2/13/2019,Pacifico,1228.0,1234.99,32.68,39.47,35.58,26.63,2
2642,2642,2/13/2019,Zona Sur,670.34,567.8,67.51,37.28,66.95,61.97,3
2643,2643,2/13/2019,Caribe,497.1,511.57,0.0,0.0,24.0,25.18,0
2644,2644,2/13/2019,Huetar Norte,31.81,36.62,0.0,0.0,8.62,2.73,1
2645,2645,2/14/2019,Central y Norte,664.91,562.08,26.91,19.11,105.09,120.72,-1
2646,2646,2/14/2019,Pacifico,1228.0,1231.37,32.68,39.47,35.58,27.73,2
2647,2647,2/14/2019,Zona Sur,670.34,587.63,67.51,36.85,66.95,68.88,3
2648,2648,2/14/2019,Caribe,497.1,520.22,0.0,0.0,24.0,25.59,0
2649,2649,2/14/2019,Huetar Norte,31.81,36.99,0.0,0.0,8.62,2.73,1
2650,2650,2/15/2019,Central y Norte,664.91,560.88,26.91,22.69,105.09,131.88,3
2651,2651,2/15/2019,Pacifico,1228.0,1173.34,32.68,39.5,35.58,17.54,2
2652,2652,2/15/2019,Zona Sur,670.34,616.31,67.51,36.86,66.95,86.09,3
2653,2653,2/15/2019,Caribe,497.1,508.54,0.0,0.0,24.0,27.04,0
2654,2654,2/15/2019,Huetar Norte,31.81,37.58,0.0,0.0,8.62,2.45,1
2655,2655,2/16/2019,Central y Norte,664.91,552.17,26.91,26.22,105.09,135.22,3
2656,2656,2/16/2019,Pacifico,1228.0,1177.73,32.68,39.56,35.58,15.19,2
2657,2657,2/16/2019,Zona Sur,670.34,610.62,67.51,36.89,66.95,71.7,3
2658,2658,2/16/2019,Caribe,497.1,486.64,0.0,0.0,24.0,24.0,0
2659,2659,2/16/2019,Huetar Norte,31.81,36.43,0.0,0.0,8.62,2.4,1
2660,2660,2/17/2019,Central y Norte,664.91,521.9,26.91,26.65,105.09,137.91,3
2661,2661,2/17/2019,Pacifico,1229.92,1200.74,32.68,39.51,35.58,15.02,2
2662,2662,2/17/2019,Zona Sur,670.34,608.85,67.51,37.05,66.95,53.45,3
2663,2663,2/17/2019,Caribe,497.1,459.92,0.0,0.0,24.0,22.8,0
2664,2664,2/17/2019,Huetar Norte,31.81,34.79,0.0,0.0,8.62,3.0,1
2665,2665,2/18/2019,Central y Norte,664.91,529.11,26.91,26.08,105.09,129.65,3
2666,2666,2/18/2019,Pacifico,1232.19,1207.08,32.68,39.51,35.58,23.98,2
2667,2667,2/18/2019,Zona Sur,661.63,647.09,67.51,36.92,66.95,79.3,3
2668,2668,2/18/2019,Caribe,497.1,467.47,0.0,0.0,24.0,29.91,0
2669,2669,2/18/2019,Huetar Norte,31.81,35.91,0.0,0.0,8.62,2.84,1
2670,2670,2/19/2019,Central y Norte,664.91,548.52,26.91,26.53,105.09,123.97,3
2671,2671,2/19/2019,Pacifico,1247.79,1251.0,32.68,39.55,35.58,27.79,2
2672,2672,2/19/2019,Zona Sur,661.63,656.33,67.51,37.09,66.95,83.59,3
2673,2673,2/19/2019,Caribe,497.1,489.08,0.0,0.0,24.0,29.88,0
2674,2674,2/19/2019,Huetar Norte,31.81,37.01,0.0,0.0,8.62,3.08,1
2675,2675,2/20/2019,Central y Norte,664.88,557.39,26.91,25.87,105.09,129.29,3
2676,2676,2/20/2019,Pacifico,1244.58,1267.89,32.68,39.51,35.58,23.59,2
2677,2677,2/20/2019,Zona Sur,661.63,639.09,67.51,36.72,66.95,73.42,3
2678,2678,2/20/2019,Caribe,497.1,478.85,0.0,0.0,24.0,33.38,0
2679,2679,2/20/2019,Huetar Norte,31.81,34.24,0.0,0.0,8.62,2.83,1
2680,2680,2/21/2019,Central y Norte,665.92,534.44,26.91,26.22,105.09,152.6,3
2681,2681,2/21/2019,Pacifico,1254.08,1278.5,32.68,39.44,35.58,25.04,2
2682,2682,2/21/2019,Zona Sur,661.63,621.51,67.51,36.6,66.95,76.44,3
2683,2683,2/21/2019,Caribe,504.35,489.9,0.0,0.0,24.0,30.12,0
2684,2684,2/21/2019,Huetar Norte,31.81,37.05,0.0,0.0,8.62,2.42,1
2685,2685,2/22/2019,Central y Norte,665.06,526.58,26.91,26.35,105.09,174.04,-1
2686,2686,2/22/2019,Pacifico,1254.08,1273.5,32.68,39.47,35.58,34.39,2
2687,2687,2/22/2019,Zona Sur,661.63,602.42,67.51,39.45,66.95,69.77,3
2688,2688,2/22/2019,Caribe,504.35,506.59,0.0,0.0,24.0,30.34,0
2689,2689,2/22/2019,Huetar Norte,31.81,39.02,0.0,0.0,8.62,2.51,1
2690,2690,2/23/2019,Central y Norte,665.06,532.44,26.91,25.57,105.09,165.21,-1
2691,2691,2/23/2019,Pacifico,1254.08,1259.91,32.68,39.35,35.58,25.53,2
2692,2692,2/23/2019,Zona Sur,661.63,594.2,67.51,41.95,66.95,70.96,3
2693,2693,2/23/2019,Caribe,504.35,511.51,0.0,0.0,24.0,29.04,0
2694,2694,2/23/2019,Huetar Norte,31.81,38.42,0.0,0.0,8.62,2.58,1
2695,2695,2/24/2019,Central y Norte,670.86,523.2,26.91,29.13,105.09,158.37,3
2696,2696,2/24/2019,Pacifico,1254.08,1227.41,32.68,39.36,35.58,19.19,2
2697,2697,2/24/2019,Zona Sur,661.63,577.16,67.51,40.7,66.95,71.04,3
2698,2698,2/24/2019,Caribe,504.35,500.31,0.0,0.0,24.0,25.29,0
2699,2699,2/24/2019,Huetar Norte,31.81,36.66,0.0,0.0,8.62,2.33,1
2700,2700,2/25/2019,Central y Norte,670.86,536.52,26.91,29.8,105.09,150.38,3
2701,2701,2/25/2019,Pacifico,1254.08,1253.33,32.68,39.4,35.58,23.01,2
2702,2702,2/25/2019,Zona Sur,661.63,621.28,67.51,40.62,66.95,80.07,3
2703,2703,2/25/2019,Caribe,504.35,482.66,0.0,0.0,24.0,25.77,0
2704,2704,2/25/2019,Huetar Norte,31.81,37.5,0.0,0.0,8.62,2.67,1
2705,2705,2/26/2019,Central y Norte,670.86,525.83,26.91,29.79,105.09,149.07,3
2706,2706,2/26/2019,Pacifico,1264.41,1244.56,32.68,39.38,35.58,22.72,2
2707,2707,2/26/2019,Zona Sur,661.63,640.49,67.51,40.81,66.95,76.97,3
2708,2708,2/26/2019,Caribe,504.35,485.83,0.0,0.0,24.0,29.08,0
2709,2709,2/26/2019,Huetar Norte,31.81,37.93,0.0,0.0,8.62,2.6,1
2710,2710,2/27/2019,Central y Norte,670.86,506.96,26.91,30.0,105.09,142.55,3
2711,2711,2/27/2019,Pacifico,1264.41,1251.32,32.68,39.44,35.58,22.01,2
2712,2712,2/27/2019,Zona Sur,661.63,659.53,67.51,40.58,66.95,73.21,3
2713,2713,2/27/2019,Caribe,504.35,473.7,0.0,0.0,24.0,28.08,0
2714,2714,2/27/2019,Huetar Norte,31.81,37.38,0.0,0.0,8.62,2.43,1
